l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
0.0,67413.0,3092.0,0.0008305095012342538,0.1358549595508477,0.8666114199238918,1.0,0.0,0.0,2.9484000000000004,2.7846,0.9335763124447255,0.8715647311578916,1.0,0.10546875,0.00045166015625,0.04932812042870438,5.0596000000000005
1.0,177384.0,531.0,0.000823651723167689,0.13185135991670413,0.8564798371757613,1.0,0.0,0.0,7.680400000000001,6.1698,0.5849561249899704,0.3421736681632818,1.0,0.2578125,0.0,0.0472625292091422,9.7734
2.0,42508.0,1646.0,0.0008953391257303214,0.13100871528743652,0.8334299325919781,1.0,0.0,0.0,5.096,3.6218000000000004,0.7679198332727473,0.589700870333644,1.0,0.078125,0.00068115234375,0.04589588854778004,4.9686
3.0,22787.0,3833.0,0.0008651438595255677,0.13132371934490214,0.8467080772032646,1.0,0.0,0.0,7.8260000000000005,6.1516,0.544044279504803,0.29598417806190047,1.0,0.125,0.00049560546875,0.04921154918288906,4.1496
4.0,919.0,4993.0,0.0008617009465912313,0.14013170019344615,0.9674461475566085,1.0,0.0,0.0,6.8978,5.296200000000001,0.6252527696141179,0.39094102591012564,1.0,0.00390625,0.00138671875,0.05581921673347612,3.9676
5.0,63754.0,3078.0,0.0008642770335214596,0.13546298811865454,0.8852102257891891,1.0,0.0,0.0,6.861400000000001,5.369000000000001,0.6528841420889299,0.4262577029911979,1.0,0.1015625,0.00202880859375,0.04792790095372279,3.9858000000000002
6.0,66922.0,781.0,0.0008304379428564028,0.13302851078595465,0.8797781009764676,1.0,0.0,0.0,6.2244,4.914000000000001,0.8022088535828076,0.6435390447666424,1.0,0.07421875,0.00045166015625,0.04756704043215687,6.7522
7.0,32288.0,3648.0,0.0009011109813845094,0.13321525273868912,0.9578837581632927,1.0,0.0,0.0,5.1506,4.641,0.5900223883865864,0.34812641879741185,1.0,0.15625,0.00105712890625,0.053050730481466246,3.0758
8.0,143533.0,3774.0,0.0008306553688258577,0.132913281196013,1.0813290670144986,1.0,0.0,0.0,8.463000000000001,6.8068,0.8389906357710659,0.7039052869115369,1.0,0.0,0.00138916015625,0.061543332589019784,3.64
9.0,164547.0,3144.0,0.0008295362827901593,0.1340888611271858,0.9722869086325707,1.0,0.0,0.0,7.771400000000001,6.1698,0.6899183652331407,0.47598735068596926,1.0,0.1484375,0.0006005859375,0.05086671053530978,7.098000000000001
10.0,174751.0,77.0,0.0008467202089727396,0.13031093529573254,0.9363342381636093,1.0,0.0,0.0,5.514600000000001,4.4044,0.7082620488870973,0.5016351298937489,1.0,0.0,0.00181884765625,0.055180369874606505,3.4216
11.0,53198.0,2913.0,0.0007882847489274052,0.1324789127410075,0.9454559571502134,1.0,0.0,0.0,5.4964,3.9858000000000002,0.7874997352008426,0.6201558329413974,1.0,0.03515625,0.0005908203125,0.052457886021139544,4.095000000000001
12.0,78200.0,228.0,0.000795510954526534,0.13603987917463115,0.9278754204462445,1.0,0.0,0.0,6.006,5.1142,1.589317487143257,2.525930074939356,1.0,0.04296875,0.001328125,0.051872756701968115,1.8564
