l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
26.0,136840.0,2741.0,0.00015945601798022493,0.014289815208453707,7.122831487371777,0.0,1.0,0.0,4.3498,4.1314,0.6939731083126268,0.48159867506108894,1.0,0.04296875,0.0,0.24714315462669645,2.6390000000000002
27.0,17512.0,2422.0,0.00016305405965784763,0.014207146472312368,10.374516884626505,0.0,1.0,0.0,1.5470000000000002,1.3832,0.9753390774779022,0.9512863160554457,1.0,0.0078125,0.0,0.4018605629396981,2.2204
28.0,96415.0,2957.0,0.0001772807360792354,0.013908189525029991,9.292163207863071,0.0,1.0,0.0,2.8756,2.0384,0.9014835667718314,0.8126726211596634,1.0,0.02734375,0.0,0.3338200458058441,1.5288000000000002
29.0,157124.0,150.0,0.0001598584229300741,0.014590054454217741,11.208774656777507,0.0,1.0,0.0,1.365,1.1284,0.9663245661460301,0.9337831671373138,1.0,0.0234375,0.0,0.404214143340932,1.2012
30.0,74444.0,4176.0,0.00013074365218354884,0.015273673255464078,10.857515251820624,0.0,1.0,0.0,2.0202,0.6552,0.8227001195387007,0.6768354866889931,1.0,0.03515625,0.0,0.31821609654052185,0.2912
31.0,68049.0,4543.0,0.00017318540477072385,0.014468094324517112,9.043745129975708,0.0,1.0,0.0,2.2568,2.093,0.8771506650669537,0.7693932892273991,1.0,0.0234375,0.0,0.33936231099580827,3.9494000000000002
32.0,149215.0,1435.0,0.00015912414959806006,0.014824920326656213,8.04381399768613,0.0,1.0,0.0,2.6754000000000002,0.6188,0.7088612040347608,0.5024842065856098,1.0,0.01171875,0.0,0.2744944225945472,2.1658
33.0,154575.0,4732.0,0.0001612750824337386,0.014205562503998057,10.49466382856455,0.0,1.0,0.0,4.2042,2.7118,0.918486409270098,0.8436172840138789,1.0,0.015625,0.0,0.3590473366733404,7.1344
34.0,12964.0,3478.0,0.00019401448545925624,0.01424008700680207,8.115003753619188,0.0,1.0,0.0,2.0748,1.911,0.9054439406137068,0.8198287295940773,1.0,0.0234375,0.0,0.28103311567760514,1.5106000000000002
35.0,10384.0,956.0,0.00014520192806075256,0.014430091404620801,10.787914386449819,0.0,1.0,0.0,2.8756,2.5298000000000003,1.0129037522655633,1.025974011353659,1.0,0.01953125,0.0,0.3777364277213069,0.8554
36.0,130442.0,4773.0,0.00016812635930300274,0.013504354224247372,11.015239339296544,0.0,1.0,0.0,5.296200000000001,3.7310000000000003,0.7309343636516193,0.5342650439667974,1.0,0.01171875,0.0,0.4150720690492221,1.4196
37.0,99506.0,2993.0,0.00015635741003660472,0.014614286538948537,11.095788125540981,0.0,1.0,0.0,1.0374,0.91,0.7786163077555558,0.6062433547028953,1.0,0.03125,0.0,0.37114196182369574,2.5298000000000003
38.0,88022.0,221.0,0.00017010739898156593,0.014005747801613577,8.781644649158466,0.0,1.0,0.0,2.5662000000000003,1.1648,0.9232096392656407,0.8523160380329946,1.0,0.03515625,0.0,0.33838230709657036,2.3842000000000003
39.0,55579.0,1316.0,0.0001736737312797321,0.014518083857316287,7.481075555213874,0.0,1.0,0.0,6.6248000000000005,4.5136,0.7384225027463107,0.5452677925621265,1.0,0.01953125,0.0,0.26436823965771233,1.4924000000000002
40.0,168986.0,3977.0,0.0001487074190190263,0.015031484991825548,10.900312010666932,0.0,1.0,0.0,1.183,1.0374,0.8000480627543076,0.6400769027169213,1.0,0.015625,0.0,0.357563502392543,0.5642
41.0,178945.0,2293.0,0.00017968556726376356,0.014645797648625437,7.40199300764922,0.0,1.0,0.0,4.823,2.7482,0.7395161392027317,0.5468841201413143,1.0,0.04296875,0.0,0.26152318457969326,3.7310000000000003
42.0,123781.0,2622.0,0.0001769282708349915,0.01451716729212531,7.640575318208257,0.0,1.0,0.0,3.7492,2.5116,0.7084304036670738,0.5018736368398924,1.0,0.0234375,0.0,0.28073725802626126,1.1648
43.0,42124.0,2085.0,0.00014982528614820837,0.014089085344875673,9.30411194762459,0.0,1.0,0.0,3.4398,3.2396000000000003,0.7999545089360218,0.6399272163670716,1.0,0.07421875,0.0,0.2966800800052347,2.7664
44.0,147979.0,3516.0,0.00017587572568287992,0.014588280492130894,8.682973781659332,0.0,1.0,0.0,1.365,1.2194,1.132723582087894,1.2830627134180304,1.0,0.0234375,0.0,0.3299286580808598,2.093
45.0,91230.0,1710.0,0.00017569726438091267,0.014268535863458944,7.676232146130167,0.0,1.0,0.0,3.0394,2.8574,0.7512845851258712,0.5644285278477527,1.0,0.015625,0.0,0.2748923864063322,1.6926
46.0,30752.0,3900.0,0.00016175049028658745,0.014239732164660977,9.03465279422907,0.0,1.0,0.0,1.9474,1.7836,0.7242734695039801,0.5245720586273328,1.0,0.00390625,0.0,0.3307679814186022,1.9656
47.0,113153.0,1404.0,0.0001684116977550755,0.014640217638369696,7.82840749009514,0.0,1.0,0.0,2.7664,1.274,0.9551003942887253,0.9122167631704784,1.0,0.0234375,0.0,0.27206631197338593,2.1294
48.0,19675.0,4011.0,0.00017549216023225167,0.01357121743255701,8.784379927946048,0.0,1.0,0.0,3.822,3.6036,0.6740250677100452,0.454309791901531,1.0,0.0390625,0.0,0.3322847533373491,1.8746
49.0,7004.0,4686.0,0.00018016015326963712,0.013868173598900644,7.226060566952178,0.0,1.0,0.0,2.5298000000000003,0.5642,1.1462865974465157,1.3139729634855108,1.0,0.0390625,0.0,0.2568230309208208,0.5642
50.0,167548.0,4977.0,0.0001691674229694608,0.014196039856691118,9.316778251167637,0.0,1.0,0.0,0.4732,0.38220000000000004,0.7230771735175253,0.5228405988620938,1.0,0.046875,0.0,0.31669809973455365,1.1102
51.0,132918.0,4143.0,0.00017665780507561984,0.014734595393583117,10.36937064568815,0.0,1.0,0.0,2.7482,1.9292,0.7189621480970967,0.5169065703963915,1.0,0.02734375,0.0,0.3749501271590174,1.7108
52.0,69710.0,3806.0,0.0001736473688884933,0.014355733108539838,12.633206766695777,0.0,1.0,0.0,3.0212000000000003,2.8392,0.8650497428476389,0.7483110576007656,1.0,0.02734375,0.0,0.45432751853733244,1.4924000000000002
53.0,31610.0,850.0,0.00016393488616375256,0.014237227522015674,9.697136738840115,0.0,1.0,0.0,3.2578,2.5298000000000003,0.844316567779246,0.7128704666265271,1.0,0.0234375,0.0,0.3383467986000932,1.6562000000000001
54.0,81859.0,1364.0,0.00018121385215125237,0.013926493818320578,9.30308271415047,0.0,1.0,0.0,1.5106000000000002,1.1102,0.9066852171845432,0.8220780830609822,1.0,0.03515625,0.0,0.3384396980127402,0.4914
55.0,164368.0,4628.0,0.00017570753620949495,0.014364523403774435,7.389134139020274,0.0,1.0,0.0,2.8938,2.7118,0.6936553662341457,0.4811577671054269,1.0,0.03125,0.0,0.26460534549435,2.8756
56.0,85600.0,2365.0,0.00019044132726965773,0.013900535708554892,8.440794814898851,0.0,1.0,0.0,5.005,4.1314,0.8797197705253175,0.7739068746531181,1.0,0.02734375,0.0,0.31496616033989766,3.2942
57.0,33332.0,430.0,0.0001709988506944281,0.01439629610137572,10.449071495672975,0.0,1.0,0.0,3.7310000000000003,2.7482,0.794294829087143,0.6309042755145734,1.0,0.01953125,0.0,0.3748441304507413,1.8928
58.0,90791.0,2139.0,0.00015640586661771832,0.01384738920809214,9.096540819713399,0.0,1.0,0.0,3.6946000000000003,1.4378,0.6484462609466616,0.42048255333570594,1.0,0.0234375,0.0,0.30127218342253625,2.0384
59.0,136334.0,3723.0,0.00017796990411360746,0.01328502024740793,9.625800322549928,0.0,1.0,0.0,2.9848000000000003,1.6198000000000001,0.9916214343441032,0.9833130690506553,1.0,0.02734375,0.0,0.3320358962262926,1.4742000000000002
60.0,82836.0,4354.0,0.0001787756719708259,0.01436502107497646,8.528043503594933,0.0,1.0,0.0,1.8928,1.7108,0.792743526354943,0.6284422985776698,1.0,0.0078125,0.0,0.3160666534431018,0.7644000000000001
61.0,53200.0,2734.0,0.00018500615989831349,0.01395829627189626,9.137249500001356,0.0,1.0,0.0,3.0576000000000003,2.8392,0.6444195591390393,0.4152765682009533,1.0,0.02734375,0.0,0.35958689261638255,0.728
62.0,17184.0,3660.0,0.00016358087961422358,0.014030643349955258,12.869796158413553,0.0,1.0,0.0,3.2578,2.8756,0.7750975514224954,0.6007762142211481,1.0,0.02734375,0.0,0.4279326456230299,1.8746
63.0,74391.0,242.0,0.0001704501876838628,0.014570147399896158,9.156860225533798,0.0,1.0,0.0,1.4014,0.7644000000000001,1.0184853512399894,1.0373124106904454,1.0,0.03125,0.0,0.28845892366809345,3.367
64.0,115159.0,881.0,0.00019357957275058116,0.014113686844696605,8.082640465086346,0.0,1.0,0.0,3.0940000000000003,2.5844,0.9143959702187163,0.8361199903522283,1.0,0.0234375,0.0,0.3076687635150507,2.8756
65.0,75569.0,4614.0,0.00017516461184784052,0.014071421371225886,9.936805921373944,0.0,1.0,0.0,4.5864,3.0940000000000003,0.7286441190193581,0.5309222521814964,1.0,0.00390625,0.0,0.37598416065353923,1.82
66.0,38176.0,3417.0,0.00015621243458512735,0.014020104069872608,11.518064240922568,0.0,1.0,0.0,1.2922,1.092,0.899400475961484,0.8089212161597437,1.0,0.00390625,0.0,0.42889930545049726,0.7644000000000001
67.0,23718.0,1518.0,0.00016478897105170345,0.013822144823508313,9.911203798533446,0.0,1.0,0.0,1.3468,1.1284,0.9783328391598648,0.9571351441786027,1.0,0.03125,0.0,0.3875853483681735,1.0374
68.0,13682.0,2032.0,0.0001652671252120703,0.014628942209170562,10.825717788906402,0.0,1.0,0.0,2.4024,1.5652000000000001,0.9750669015285361,0.9507554624564604,1.0,0.03515625,0.0,0.4189296787030372,2.1294
69.0,170889.0,2582.0,0.00018265381294703073,0.014571970422474444,8.58151574285786,0.0,1.0,0.0,2.8028,2.0566,0.9993153466968024,0.9986311621437503,1.0,0.03125,0.0,0.32901681016497464,4.6774000000000004
70.0,173648.0,3964.0,0.00015423753438868748,0.01441030050721459,15.044742300287814,0.0,1.0,0.0,2.0566,1.8746,0.6950028852475434,0.48302901050241076,1.0,0.015625,0.0,0.5427370318693945,2.8392
71.0,171083.0,4644.0,0.0001640486547669184,0.014985268600271348,9.287491776441863,0.0,1.0,0.0,3.1668000000000003,2.3114,0.9809667428744331,0.9622957506256736,1.0,0.0078125,0.0,0.32364164215571023,1.7472
72.0,16287.0,804.0,0.0001530963646863444,0.014855701453239658,13.848406711050218,0.0,1.0,0.0,0.8008000000000001,0.6552,0.909853690233857,0.8278337376321674,1.0,0.01953125,0.0,0.4901951277538813,0.6188
73.0,50556.0,2395.0,0.0001762500574455761,0.014533065760429934,7.380374015728819,0.0,1.0,0.0,3.9858000000000002,0.6188,0.7105903855630632,0.5049386960546624,1.0,0.03125,0.0,0.25843623762451906,2.2022
74.0,143985.0,2528.0,0.00016227558553798648,0.01438653853561117,9.933827022237397,0.0,1.0,0.0,2.1658,0.5824,0.8781715088195562,0.7711851989024154,1.0,0.05859375,0.0,0.3580026465031896,0.3094
75.0,152843.0,3194.0,0.00016289824778067879,0.014336791713033014,12.040508562348593,0.0,1.0,0.0,0.8918,0.7644000000000001,0.8584396886990698,0.7369186991337563,1.0,0.03125,0.0,0.4010680929108338,0.3094
76.0,152119.0,1099.0,0.0001605961352051305,0.014147262742071164,10.553977113820753,0.0,1.0,0.0,3.4216,2.5116,0.8695715467241052,0.7561546748721537,1.0,0.0078125,0.0,0.3767578151469928,0.40040000000000003
77.0,81872.0,4129.0,0.0001616523715602141,0.014564807311338974,11.827558776751752,0.0,1.0,0.0,2.2204,2.0748,0.9292964123810491,0.8635918220642893,1.0,0.00390625,0.0,0.43579073693173953,0.3276
78.0,35287.0,1703.0,0.00017142055425558978,0.014115775667487306,9.63769173961681,0.0,1.0,0.0,3.9130000000000003,3.0576000000000003,0.8846914636237817,0.782678985808789,1.0,0.02734375,0.0,0.3459763569088685,0.6006
79.0,169447.0,2967.0,0.00016441093490347222,0.014735256263776614,12.033977861891305,0.0,1.0,0.0,4.55,3.6764,0.5674394686229978,0.3219875505511501,1.0,0.0078125,0.0,0.4535499456626302,1.8746
80.0,19812.0,1225.0,0.00017557433738505586,0.013785270316460244,8.944881962424597,0.0,1.0,0.0,2.9848000000000003,2.0202,1.0251999948736021,1.0510350294888346,1.0,0.0546875,0.0,0.32575766936032524,5.4964
81.0,8024.0,1903.0,0.000184290270476273,0.014587216082745385,6.951983167421993,0.0,1.0,0.0,2.4752,0.455,0.8576770895581889,0.7356099899530065,1.0,0.03125,0.0,0.25132869348675557,2.9302
82.0,85256.0,1301.0,0.00016712471676065405,0.014403405451598258,10.256700407471389,0.0,1.0,0.0,1.1648,1.0192,0.8559414200374378,0.7326357145357051,1.0,0.015625,0.0,0.346472826320559,1.8746
83.0,17024.0,3693.0,0.00017564481481106503,0.014134001672109776,8.643727211597206,0.0,1.0,0.0,3.458,2.0202,0.8046607465194169,0.6474789169891854,1.0,0.01953125,0.0,0.3046084552007109,4.768400000000001
84.0,50932.0,1457.0,0.0001666486258021733,0.013852592878359516,9.418166807718361,0.0,1.0,0.0,0.6734,0.5642,0.7301714514564113,0.5331503485219621,1.0,0.0078125,0.0,0.32972678165957575,0.8918
85.0,139999.0,412.0,0.0001712236884582583,0.01507232470903257,7.229364286260729,0.0,1.0,0.0,0.8736,0.7462000000000001,0.9009413076500185,0.8116952398301254,1.0,0.24609375,0.0,0.2424429574606135,4.3316
86.0,157312.0,2719.0,0.0001506039824897949,0.013689502412346665,11.91499372563202,0.0,1.0,0.0,1.5834000000000001,0.8554,0.8608838207728959,0.7411209528685397,1.0,0.03515625,0.0,0.41769731950393485,1.1648
87.0,112611.0,1084.0,0.00016119151357486578,0.014671736933112255,10.016422057819218,0.0,1.0,0.0,5.896800000000001,4.313400000000001,0.6935731563749847,0.4810437232439591,1.0,0.01953125,0.0,0.34132198200899344,1.6198000000000001
88.0,44270.0,2704.0,0.00016383047972349499,0.014302090463542857,10.956403628540443,0.0,1.0,0.0,2.4388,2.1294,0.8715293438803996,0.7595633972446006,1.0,0.0234375,0.0,0.3850215293677721,1.1284
89.0,31067.0,1663.0,0.00017547757927058243,0.014442276319187486,10.384523198154408,0.0,1.0,0.0,0.4368,0.3458,0.7398891310408624,0.5474359262324024,1.0,0.02734375,0.0,0.3994026230491565,3.1668000000000003
