l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
10.0,128473.0,4777.0,0.0008676095338377319,0.12878942193612122,0.8211521499670883,1.0,0.0,0.0,7.2254000000000005,6.934200000000001,0.5096857988199422,0.2597796135187227,1.0,0.015625,0.0008056640625,0.04627327628433217,5.7148
11.0,68243.0,2549.0,0.0008317802118741603,0.13170903398107386,0.9100766516018103,1.0,0.0,0.0,6.188000000000001,4.7138,0.5242497078812189,0.27483775621354367,1.0,0.01171875,0.00032470703125,0.05331053269127217,5.296200000000001
12.0,148205.0,2348.0,0.000897814507415753,0.13344960993101831,0.9111699772566388,1.0,0.0,0.0,5.187,3.7310000000000003,0.7310050481404523,0.5343683804068248,1.0,0.1015625,0.00055908203125,0.05145132296003707,5.0414
13.0,17374.0,77.0,0.000838214557740155,0.13744025633753154,0.9279682186311535,1.0,0.0,0.0,4.1314,3.6764,0.8874297823729905,0.7875316186425735,1.0,0.03515625,0.00061279296875,0.052314003611792614,4.7502
14.0,120815.0,1084.0,0.0008004632031052006,0.1335886592796265,0.9841062900228316,1.0,0.0,0.0,7.7532000000000005,6.260800000000001,0.6211005888371115,0.38576594145380644,1.0,0.01953125,0.001201171875,0.05548043026612404,6.115200000000001
15.0,169644.0,3823.0,0.0009087403696178264,0.13688394511339372,0.8237091293981035,1.0,0.0,0.0,0.9464,0.8372,0.9094666167641872,0.8271295270084967,1.0,0.00390625,0.00069091796875,0.04653925335010456,4.5682
16.0,158464.0,1861.0,0.0008623091901338253,0.13563382885436387,0.9575356114195799,1.0,0.0,0.0,6.1698,2.3842000000000003,0.6935740422027099,0.4810449520174062,1.0,0.00390625,5.37109375e-05,0.05750867938871451,4.167800000000001
17.0,83686.0,473.0,0.0008250427848799743,0.13777357175014737,1.102088998699497,1.0,0.0,0.0,4.1314,3.9312,0.6687225914211268,0.4471899042769874,1.0,0.2578125,0.00034912109375,0.058431944534857116,2.9848000000000003
18.0,53041.0,714.0,0.0008504132358725954,0.13221925353409011,0.9393979834120345,1.0,0.0,0.0,5.824,3.1122,0.7696140616210753,0.5923058038448883,1.0,0.11328125,0.0005029296875,0.05378992735696109,3.6582000000000003
19.0,134830.0,1024.0,0.0008054024096229334,0.1336789966470546,0.9963678857937481,1.0,0.0,0.0,5.441800000000001,4.55,0.7759068077435997,0.6020313743028635,1.0,0.0,0.000615234375,0.05990819276883874,5.1688
20.0,54302.0,1403.0,0.0008767847158157577,0.13280163199523212,0.9118039504311882,1.0,0.0,0.0,1.3832,1.2558,0.8298088906478992,0.6885827949982972,1.0,0.0390625,0.00098876953125,0.053877847195470674,5.2052000000000005
